onset	duration	trial_type	correct
0.0279	20	3	0
20.0079	2	1	1
27.0078	2	1	1
33.0078	2	1	1
38.0078	2	1	1
42.0078	2	1	1
48.0078	2	1	0
61.0078	2	1	1
65.0078	2	1	1
70.0082	2	2	0
77.0078	2	2	0
83.0078	2	2	1
87.0077	2	2	0
94.0077	2	2	1
98.0077	2	2	0
110.0077	2	2	0
115.0077	2	2	1
120.0077	2	2	0
125.0076	2	2	1
131.0077	2	2	1
138.0076	2	2	1
149.0076	2	2	1
153.0076	2	2	1
160.0076	2	2	1
166.0075	2	2	1
170.0075	20	3	0
190.0074	2	1	0
197.0074	2	1	0
202.0074	2	1	1
212.0074	2	1	1
219.0073	2	1	1
223.0073	2	1	1
229.0073	2	1	1
234.0073	2	1	0
240.0073	2	2	0
247.0073	2	2	1
251.0073	2	2	1
258.0073	2	2	0
268.0073	2	2	1
273.0073	2	2	0
279.0072	2	2	0
284.0072	2	2	0
290.0072	2	1	0
297.0071	2	1	1
303.0071	2	1	1
309.0071	2	1	1
320.0071	2	1	0
324.0071	2	1	1
329.0071	2	1	0
336.007	2	1	0
340.007	20	3	0
